case,reference,baseline,metric,reference_mean,baseline_mean,reference_advantage_mean,ci95_low,ci95_high,paired_randomization_p,reference_wins,ties,baseline_wins
waxman192,gnn,greedy,completed_requests,40.1,39.4,0.7,-0.35,1.75,0.2542372881355932,12,2,6
waxman192,gnn,greedy,mean_censored_latency_ps,869900003.2083334,906929171.6666666,37029168.45833333,9554167.708333343,63245835.18333332,0.01664916754162292,16,0,4
waxman192,gnn,greedy,mean_decision_seconds,0.5696201504499185,0.11141798999848437,-0.4582021604514342,-0.478699707278495,-0.43776329362828453,4.999750012499375e-05,0,0,20
waxman192,gnn,greedy,p95_decision_seconds,1.1198782349936665,0.24434315001708456,-0.8755350849765818,-0.9508558099798392,-0.8055018699960783,4.999750012499375e-05,0,0,20
waxman192,gnn,greedy,mean_planner_seconds,0.15206831506008373,0.10818248722993302,-0.04388582783015069,-0.05546163115820335,-0.03211195815174083,4.999750012499375e-05,1,0,19
waxman192,gnn,qcast,completed_requests,40.1,38.35,1.75,0.3,3.2,0.04329783510824459,13,3,4
waxman192,gnn,qcast,mean_censored_latency_ps,869900003.2083334,902675004.8666666,32775001.658333324,3941668.5916666626,62258334.875,0.04269786510674466,13,0,7
waxman192,gnn,qcast,mean_decision_seconds,0.5696201504499185,0.06577529727417807,-0.5038448531757405,-0.5245688468090851,-0.48364092590319074,4.999750012499375e-05,0,0,20
waxman192,gnn,qcast,p95_decision_seconds,1.1198782349936665,0.16282664001919328,-0.9570515949744731,-1.0314529700030106,-0.8844540299498476,4.999750012499375e-05,0,0,20
waxman192,gnn,qcast,mean_planner_seconds,0.15206831506008373,0.06223233937616272,-0.089835975683921,-0.10057419059688173,-0.0790849082445199,4.999750012499375e-05,0,0,20
waxman192,gnn,qpass,completed_requests,40.1,39.1,1.0,-0.25,2.2,0.16019199040048,11,4,5
waxman192,gnn,qpass,mean_censored_latency_ps,869900003.2083334,893929171.5833334,24029168.374999978,-941664.9750000179,50504168.29999998,0.09129543522823859,11,0,9
waxman192,gnn,qpass,mean_decision_seconds,0.5696201504499185,0.10924512772789141,-0.4603750227220272,-0.4806512563626959,-0.44010458680250764,4.999750012499375e-05,0,0,20
waxman192,gnn,qpass,p95_decision_seconds,1.1198782349936665,0.2281530549749732,-0.8917251800186932,-0.9707280250266195,-0.8181503350206185,4.999750012499375e-05,0,0,20
waxman192,gnn,qpass,mean_planner_seconds,0.15206831506008373,0.10533453950139864,-0.04673377555868508,-0.058108482687431864,-0.03542576975725365,0.00014999250037498125,1,0,19
barabasi128,gnn,greedy,completed_requests,36.95,32.55,4.4,2.1,6.4,0.0016499175041247937,17,0,3
barabasi128,gnn,greedy,mean_censored_latency_ps,691430006.5699999,831485006.05,140054999.48,91589999.88999999,184504999.01,4.999750012499375e-05,19,0,1
barabasi128,gnn,greedy,mean_decision_seconds,0.4663816261105239,0.09281581667148404,-0.3735658094390399,-0.39623528443690803,-0.35163034666135595,4.999750012499375e-05,0,0,20
barabasi128,gnn,greedy,p95_decision_seconds,0.9191552750009577,0.1863243500061799,-0.7328309249947779,-0.7876017900067381,-0.6780598450044636,4.999750012499375e-05,0,0,20
barabasi128,gnn,greedy,mean_planner_seconds,0.14052480444079266,0.09078744666767306,-0.049737357773119585,-0.05944700499983609,-0.03996231332485978,4.999750012499375e-05,0,0,20
barabasi128,gnn,qcast,completed_requests,36.95,32.05,4.9,3.65,6.15,4.999750012499375e-05,18,1,1
barabasi128,gnn,qcast,mean_censored_latency_ps,691430006.5699999,786490005.8199999,95059999.25,65509999.36,124864999.21999998,9.99950002499875e-05,18,0,2
barabasi128,gnn,qcast,mean_decision_seconds,0.4663816261105239,0.049029255547146836,-0.41735237056337715,-0.43841077055937305,-0.3963200350110937,4.999750012499375e-05,0,0,20
barabasi128,gnn,qcast,p95_decision_seconds,0.9191552750009577,0.12240981997456402,-0.7967454550263937,-0.8466307250200771,-0.745574175042566,4.999750012499375e-05,0,0,20
barabasi128,gnn,qcast,mean_planner_seconds,0.14052480444079266,0.04764950152295771,-0.09287530291783494,-0.10080871514178905,-0.08529864194941991,4.999750012499375e-05,0,0,20
barabasi128,gnn,qpass,completed_requests,36.95,33.6,3.35,1.8,4.95,0.0008999550022498875,14,3,3
barabasi128,gnn,qpass,mean_censored_latency_ps,691430006.5699999,771320006.2,79889999.63,45800000.06000002,114599999.34,0.00024998750062496874,16,0,4
barabasi128,gnn,qpass,mean_decision_seconds,0.4663816261105239,0.08268017611763853,-0.38370144999288536,-0.40348847499375956,-0.3643655816629891,4.999750012499375e-05,0,0,20
barabasi128,gnn,qpass,p95_decision_seconds,0.9191552750009577,0.18041681999457068,-0.7387384550063871,-0.788067420036532,-0.6901335550006479,9.99950002499875e-05,0,0,20
barabasi128,gnn,qpass,mean_planner_seconds,0.14052480444079266,0.08067329777922068,-0.059851506661571977,-0.06773507499342991,-0.05195835389313288,4.999750012499375e-05,0,0,20
