case,reference,baseline,metric,reference_mean,baseline_mean,reference_advantage_mean,ci95_low,ci95_high,paired_randomization_p,reference_wins,ties,baseline_wins
B5,adaptive5,candidate1,completed_requests,51.45,46.65,4.8,2.35,7.3,0.001799910004499775,14,2,4
B5,adaptive5,candidate1,mean_censored_latency_ps,1051947504.85,1126230004.26,74282499.41000001,41519999.57499997,105642499.27500002,0.0006499675016249188,16,0,4
B5,adaptive5,candidate1,mean_decision_seconds,0.6160377265375037,0.149647341918451,-0.4663903846190526,-0.48107485576944714,-0.4524289700045931,4.999750012499375e-05,0,0,20
B5,adaptive5,candidate1,p95_decision_seconds,0.8729677649971563,0.22962733501917681,-0.6433404299779795,-0.6698640799848363,-0.6156232549750712,4.999750012499375e-05,0,0,20
B5,adaptive5,candidate1,mean_planner_seconds,0.1313235634575204,0.03338533230663206,-0.09793823115088833,-0.10541738538304343,-0.09049439922539301,4.999750012499375e-05,0,0,20
B5,adaptive5,candidate3,completed_requests,51.45,49.2,2.25,0.0,4.45,0.07784610769461527,13,2,5
B5,adaptive5,candidate3,mean_censored_latency_ps,1051947504.85,1093787504.5,41839999.65,6377499.844999981,75147499.51500003,0.03529823508824559,14,0,6
B5,adaptive5,candidate3,mean_decision_seconds,0.6160377265375037,0.39006229384641095,-0.2259754326910927,-0.24274539038350879,-0.21038528192394343,4.999750012499375e-05,0,0,20
B5,adaptive5,candidate3,p95_decision_seconds,0.8729677649971563,0.5551335600088351,-0.31783420498832127,-0.34679636998916974,-0.28919415498385204,4.999750012499375e-05,0,0,20
B5,adaptive5,candidate3,mean_planner_seconds,0.1313235634575204,0.08441170522523746,-0.04691185823228294,-0.05170392422363734,-0.04212676246138588,4.999750012499375e-05,0,0,20
B5,adaptive5,fixed0,completed_requests,51.45,46.65,4.8,2.4,7.3,0.0016499175041247937,14,2,4
B5,adaptive5,fixed0,mean_censored_latency_ps,1051947504.85,1126230004.26,74282499.41000001,41854999.60499998,105547499.19500001,0.0006499675016249188,16,0,4
B5,adaptive5,fixed0,mean_decision_seconds,0.6160377265375037,0.14770329192934487,-0.4683344346081587,-0.48347366883446324,-0.454268701532587,4.999750012499375e-05,0,0,20
B5,adaptive5,fixed0,p95_decision_seconds,0.8729677649971563,0.22377507499768398,-0.6491926899994723,-0.6765573300188408,-0.6209647900075652,4.999750012499375e-05,0,0,20
B5,adaptive5,fixed0,mean_planner_seconds,0.1313235634575204,0.032933239234486024,-0.09839032422303437,-0.10599835730793598,-0.09095435499016626,9.99950002499875e-05,0,0,20
B5,adaptive5,fixed1,completed_requests,51.45,45.0,6.45,3.5,9.45,0.000599970001499925,16,0,4
B5,adaptive5,fixed1,mean_censored_latency_ps,1051947504.85,1148397504.165,96449999.31500001,56584999.59999998,137267499.09,0.00014999250037498125,16,0,4
B5,adaptive5,fixed1,mean_decision_seconds,0.6160377265375037,0.1505153488506599,-0.46552237768684374,-0.4802874219133698,-0.45164006653492555,4.999750012499375e-05,0,0,20
B5,adaptive5,fixed1,p95_decision_seconds,0.8729677649971563,0.2292102149920538,-0.6437575500051025,-0.6716442550066859,-0.6142831800039857,4.999750012499375e-05,0,0,20
B5,adaptive5,fixed1,mean_planner_seconds,0.1313235634575204,0.03495993999755368,-0.09636362345996671,-0.10338263961871583,-0.0894780723095979,4.999750012499375e-05,0,0,20
B5,adaptive5,fixed2,completed_requests,51.45,45.2,6.25,3.45,9.05,0.00039998000099995,16,1,3
B5,adaptive5,fixed2,mean_censored_latency_ps,1051947504.85,1138700004.23,86752499.38000003,52024999.72500001,120569999.22000006,0.00024998750062496874,16,0,4
B5,adaptive5,fixed2,mean_decision_seconds,0.6160377265375037,0.1521509892325132,-0.4638867373049904,-0.47873985461505636,-0.4504297999960657,4.999750012499375e-05,0,0,20
B5,adaptive5,fixed2,p95_decision_seconds,0.8729677649971563,0.23794342998298817,-0.6350243350141682,-0.6612595100305043,-0.6080623000103514,4.999750012499375e-05,0,0,20
B5,adaptive5,fixed2,mean_planner_seconds,0.1313235634575204,0.03394394846131595,-0.09737961499620443,-0.10440571615561986,-0.09038998999256784,4.999750012499375e-05,0,0,20
B5,adaptive5,fixed3,completed_requests,51.45,44.55,6.9,4.75,8.95,4.999750012499375e-05,18,0,2
B5,adaptive5,fixed3,mean_censored_latency_ps,1051947504.85,1156785004.135,104837499.28500001,74322499.53000003,132957499.14999998,9.99950002499875e-05,18,0,2
B5,adaptive5,fixed3,mean_decision_seconds,0.6160377265375037,0.15376238114952753,-0.4622753453879761,-0.47793027308160585,-0.44734354884399535,9.99950002499875e-05,0,0,20
B5,adaptive5,fixed3,p95_decision_seconds,0.8729677649971563,0.23246644497266972,-0.6405013200244867,-0.6726746350119356,-0.6085685250000097,4.999750012499375e-05,0,0,20
B5,adaptive5,fixed3,mean_planner_seconds,0.1313235634575204,0.034116696153068914,-0.09720686730445147,-0.10469321192089968,-0.08986759691749915,4.999750012499375e-05,0,0,20
B5,adaptive5,fixed4,completed_requests,51.45,47.75,3.7,1.15,6.15,0.013249337533123344,14,0,6
B5,adaptive5,fixed4,mean_censored_latency_ps,1051947504.85,1092647504.44,40699999.589999996,1839999.9099999845,78684999.45,0.05584720763961802,14,0,6
B5,adaptive5,fixed4,mean_decision_seconds,0.6160377265375037,0.14931744192055282,-0.46672028461695075,-0.481910271920228,-0.4520304276948221,4.999750012499375e-05,0,0,20
B5,adaptive5,fixed4,p95_decision_seconds,0.8729677649971563,0.2271540800051298,-0.6458136849920265,-0.6739817649882752,-0.6171242299838923,4.999750012499375e-05,0,0,20
B5,adaptive5,fixed4,mean_planner_seconds,0.1313235634575204,0.03498456999972964,-0.09633899345779075,-0.10368641076582627,-0.089050887297624,4.999750012499375e-05,0,0,20
