request_id,arrival_time_ps,settlement_time_ps,success,latency_ps,attempt_count,last_candidate_id,last_failure_cause
r0,0,110000000,1,110000000,1,r0:path:0:swap_tree_1,
r1,0,1000000000,0,1000000000,0,,
r10,200000000,325000010,1,125000010,1,r10:path:0:swap_tree_0,
r11,200000000,565000000,1,365000000,2,r11:path:1:swap_tree_1,
r12,200000000,965000000,1,765000000,4,r12:path:2:swap_tree_4,
r13,200000000,710000000,1,510000000,3,r13:path:3:swap_tree_0,
r14,200000000,630000010,1,430000010,2,r14:path:2:swap_tree_1,
r15,200000000,630000010,1,430000010,2,r15:path:0:swap_tree_4,
r16,400000000,1400000000,0,1000000000,5,r16:path:1:swap_tree_4,physical_failure
r17,400000000,765000000,1,365000000,2,r17:path:1:swap_tree_0,
r18,400000000,1400000000,0,1000000000,0,,
r19,400000000,1400000000,0,1000000000,5,r19:path:3:swap_tree_1,physical_failure
r2,0,480000010,1,480000010,2,r2:path:1:swap_tree_2,
r20,400000000,1400000000,0,1000000000,0,,
r21,400000000,765000000,1,365000000,2,r21:path:3:swap_tree_0,
r22,400000000,565000000,1,165000000,1,r22:path:3:swap_tree_3,
r23,400000000,910000000,1,510000000,3,r23:path:0:swap_tree_1,
r24,600000000,765000000,1,165000000,1,r24:path:0:swap_tree_3,
r25,600000000,1600000000,0,1000000000,0,,
r26,600000000,1600000000,0,1000000000,0,,
r27,600000000,1600000000,0,1000000000,0,,
r28,600000000,765000000,1,165000000,1,r28:path:3:swap_tree_3,
r29,600000000,1600000000,0,1000000000,0,,
r3,0,630000010,1,630000010,3,r3:path:3:swap_tree_3,
r30,600000000,1600000000,0,1000000000,5,r30:path:1:swap_tree_2,physical_failure
r31,600000000,1430000010,1,830000010,3,r31:path:0:swap_tree_1,
r32,800000000,1800000000,0,1000000000,0,,
r33,800000000,1565000000,1,765000000,4,r33:path:1:swap_tree_4,
r34,800000000,910000000,1,110000000,1,r34:path:1:swap_tree_1,
r35,800000000,1800000000,0,1000000000,0,,
r36,800000000,1110000000,1,310000000,2,r36:path:3:swap_tree_0,
r37,800000000,965000000,1,165000000,1,r37:path:2:swap_tree_1,
r38,800000000,1110000000,1,310000000,2,r38:path:3:swap_tree_1,
r39,800000000,1800000000,0,1000000000,5,r39:path:3:swap_tree_4,physical_failure
r4,0,165000000,1,165000000,1,r4:path:3:swap_tree_2,
r5,0,165000000,1,165000000,1,r5:path:2:swap_tree_4,
r6,0,110000000,1,110000000,1,r6:path:3:swap_tree_0,
r7,0,1000000000,0,1000000000,0,,
r8,200000000,565000000,1,365000000,2,r8:path:1:swap_tree_0,
r9,200000000,1200000000,0,1000000000,5,r9:path:3:swap_tree_1,physical_failure
