request_id,arrival_time_ps,settlement_time_ps,success,latency_ps,attempt_count,last_candidate_id,last_failure_cause
r0,0,165000000,1,165000000,1,r0:path:3:swap_tree_3,
r1,0,1000000000,0,1000000000,0,,
r10,200000000,1200000000,0,1000000000,0,,
r11,200000000,525000010,1,325000010,2,r11:path:0:swap_tree_1,
r12,400000000,1110000000,1,710000000,4,r12:path:0:swap_tree_1,
r13,400000000,1400000000,0,1000000000,0,,
r14,400000000,1400000000,0,1000000000,0,,
r15,400000000,525000010,1,125000010,1,r15:path:0:swap_tree_0,
r16,400000000,1400000000,0,1000000000,0,,
r17,400000000,765000000,1,365000000,2,r17:path:2:swap_tree_2,
r18,600000000,725000010,1,125000010,1,r18:path:0:swap_tree_0,
r19,600000000,1565000000,1,965000000,5,r19:path:1:swap_tree_3,
r2,0,630000010,1,630000010,3,r2:path:0:swap_tree_3,
r20,600000000,1030000010,1,430000010,2,r20:path:1:swap_tree_3,
r21,600000000,1365000000,1,765000000,4,r21:path:0:swap_tree_4,
r22,600000000,1565000000,1,965000000,5,r22:path:1:swap_tree_4,
r23,600000000,1565000000,1,965000000,5,r23:path:1:swap_tree_4,
r24,800000000,910000000,1,110000000,1,r24:path:3:swap_tree_0,
r25,800000000,965000000,1,165000000,1,r25:path:1:swap_tree_1,
r26,800000000,1710000000,1,910000000,5,r26:path:0:swap_tree_1,
r27,800000000,1165000000,1,365000000,2,r27:path:3:swap_tree_2,
r28,800000000,1800000000,0,1000000000,0,,
r29,800000000,1510000000,1,710000000,4,r29:path:0:swap_tree_1,
r3,0,565000000,1,565000000,3,r3:path:1:swap_tree_3,
r4,0,325000010,1,325000010,2,r4:path:1:swap_tree_1,
r5,0,165000000,1,165000000,1,r5:path:0:swap_tree_1,
r6,200000000,1200000000,0,1000000000,0,,
r7,200000000,965000000,1,765000000,4,r7:path:0:swap_tree_1,
r8,200000000,880000010,1,680000010,3,r8:path:0:swap_tree_1,
r9,200000000,1200000000,0,1000000000,0,,
