method,metric,seed,value
TELGEN,mean_censored_latency_ps,45000,15.71000007
TELGEN,mean_censored_latency_ps,45001,14.33000009
TELGEN,mean_censored_latency_ps,45002,14.14500009
TELGEN,mean_censored_latency_ps,45003,13.47500012
TELGEN,mean_censored_latency_ps,45004,13.31500012
TELGEN,mean_censored_latency_ps,45005,12.36000011
TELGEN,mean_censored_latency_ps,45006,11.94500008
TELGEN,mean_censored_latency_ps,45007,12.8500001
TELGEN,mean_censored_latency_ps,45008,11.9050001
TELGEN,mean_censored_latency_ps,45009,13.00000007
TELGEN,mean_censored_latency_ps,45010,11.0250001
TELGEN,mean_censored_latency_ps,45011,13.29000011
TELGEN,mean_censored_latency_ps,45012,9.19000007
TELGEN,mean_censored_latency_ps,45013,13.09500008
TELGEN,mean_censored_latency_ps,45014,13.43500007
TELGEN,mean_censored_latency_ps,45015,13.99000009
TELGEN,mean_censored_latency_ps,45016,8.26500008
TELGEN,mean_censored_latency_ps,45017,9.34000006
TELGEN,mean_censored_latency_ps,45018,12.08000008
TELGEN,mean_censored_latency_ps,45019,9.80500011
MILP,mean_censored_latency_ps,45000,13.1550001
MILP,mean_censored_latency_ps,45001,11.08500003
MILP,mean_censored_latency_ps,45002,14.92000008
MILP,mean_censored_latency_ps,45003,13.7400001
MILP,mean_censored_latency_ps,45004,10.15500014
MILP,mean_censored_latency_ps,45005,11.47000007
MILP,mean_censored_latency_ps,45006,9.54500007
MILP,mean_censored_latency_ps,45007,11.96500008
MILP,mean_censored_latency_ps,45008,9.64500004
MILP,mean_censored_latency_ps,45009,11.85000011
MILP,mean_censored_latency_ps,45010,9.4300001
MILP,mean_censored_latency_ps,45011,14.03000009
MILP,mean_censored_latency_ps,45012,11.31500007
MILP,mean_censored_latency_ps,45013,12.3700001
MILP,mean_censored_latency_ps,45014,12.15500008
MILP,mean_censored_latency_ps,45015,13.03500005
MILP,mean_censored_latency_ps,45016,8.2550001
MILP,mean_censored_latency_ps,45017,12.27500007
MILP,mean_censored_latency_ps,45018,10.48000013
MILP,mean_censored_latency_ps,45019,11.8250001
Q-PASS,mean_censored_latency_ps,45000,18.14500005
Q-PASS,mean_censored_latency_ps,45001,13.56500008
Q-PASS,mean_censored_latency_ps,45002,17.38000005
Q-PASS,mean_censored_latency_ps,45003,11.97000013
Q-PASS,mean_censored_latency_ps,45004,11.8100001
Q-PASS,mean_censored_latency_ps,45005,12.17500011
Q-PASS,mean_censored_latency_ps,45006,12.41000011
Q-PASS,mean_censored_latency_ps,45007,15.43000003
Q-PASS,mean_censored_latency_ps,45008,10.91000009
Q-PASS,mean_censored_latency_ps,45009,12.34000011
Q-PASS,mean_censored_latency_ps,45010,11.76500007
Q-PASS,mean_censored_latency_ps,45011,14.45000008
Q-PASS,mean_censored_latency_ps,45012,9.99500006
Q-PASS,mean_censored_latency_ps,45013,12.81000011
Q-PASS,mean_censored_latency_ps,45014,14.1300001
Q-PASS,mean_censored_latency_ps,45015,13.34000011
Q-PASS,mean_censored_latency_ps,45016,11.47000012
Q-PASS,mean_censored_latency_ps,45017,11.79000011
Q-PASS,mean_censored_latency_ps,45018,11.38000008
Q-PASS,mean_censored_latency_ps,45019,14.72000007
Greedy,mean_censored_latency_ps,45000,15.8300001
Greedy,mean_censored_latency_ps,45001,13.77500012
Greedy,mean_censored_latency_ps,45002,15.13500007
Greedy,mean_censored_latency_ps,45003,13.16000011
Greedy,mean_censored_latency_ps,45004,13.21000009
Greedy,mean_censored_latency_ps,45005,12.69000012
Greedy,mean_censored_latency_ps,45006,11.17000013
Greedy,mean_censored_latency_ps,45007,15.11000003
Greedy,mean_censored_latency_ps,45008,11.68500011
Greedy,mean_censored_latency_ps,45009,14.13000009
Greedy,mean_censored_latency_ps,45010,14.53500009
Greedy,mean_censored_latency_ps,45011,16.67000009
Greedy,mean_censored_latency_ps,45012,11.30500012
Greedy,mean_censored_latency_ps,45013,13.51000012
Greedy,mean_censored_latency_ps,45014,15.59000007
Greedy,mean_censored_latency_ps,45015,16.17000008
Greedy,mean_censored_latency_ps,45016,12.77500011
Greedy,mean_censored_latency_ps,45017,11.90500012
Greedy,mean_censored_latency_ps,45018,10.6250001
Greedy,mean_censored_latency_ps,45019,11.82000012
TELGEN,p95_completion_latency_ps,45000,15.6000002
TELGEN,p95_completion_latency_ps,45001,15.6000002
TELGEN,p95_completion_latency_ps,45002,11.6000002
TELGEN,p95_completion_latency_ps,45003,15.6000002
TELGEN,p95_completion_latency_ps,45004,15.6000002
TELGEN,p95_completion_latency_ps,45005,14.6000002
TELGEN,p95_completion_latency_ps,45006,9.2
TELGEN,p95_completion_latency_ps,45007,15.6000002
TELGEN,p95_completion_latency_ps,45008,15.5000002
TELGEN,p95_completion_latency_ps,45009,11.6000002
TELGEN,p95_completion_latency_ps,45010,11.5000002
TELGEN,p95_completion_latency_ps,45011,15.6000002
TELGEN,p95_completion_latency_ps,45012,12.6000002
TELGEN,p95_completion_latency_ps,45013,15.3
TELGEN,p95_completion_latency_ps,45014,15.6000002
TELGEN,p95_completion_latency_ps,45015,13.5000002
TELGEN,p95_completion_latency_ps,45016,14.3
TELGEN,p95_completion_latency_ps,45017,15.3
TELGEN,p95_completion_latency_ps,45018,15.3
TELGEN,p95_completion_latency_ps,45019,15.3
MILP,p95_completion_latency_ps,45000,13.6000002
MILP,p95_completion_latency_ps,45001,11.3
MILP,p95_completion_latency_ps,45002,15.3
MILP,p95_completion_latency_ps,45003,15.5000002
MILP,p95_completion_latency_ps,45004,15.5000002
MILP,p95_completion_latency_ps,45005,15.3
MILP,p95_completion_latency_ps,45006,15.3
MILP,p95_completion_latency_ps,45007,15.2
MILP,p95_completion_latency_ps,45008,15.3
MILP,p95_completion_latency_ps,45009,15.6000002
MILP,p95_completion_latency_ps,45010,11.6000002
MILP,p95_completion_latency_ps,45011,15.6000002
MILP,p95_completion_latency_ps,45012,14.6000002
MILP,p95_completion_latency_ps,45013,15.3
MILP,p95_completion_latency_ps,45014,15.3
MILP,p95_completion_latency_ps,45015,15.3
MILP,p95_completion_latency_ps,45016,11.3
MILP,p95_completion_latency_ps,45017,15.3
MILP,p95_completion_latency_ps,45018,12.6000002
MILP,p95_completion_latency_ps,45019,15.3
Q-PASS,p95_completion_latency_ps,45000,15.6000002
Q-PASS,p95_completion_latency_ps,45001,13.3
Q-PASS,p95_completion_latency_ps,45002,15.3
Q-PASS,p95_completion_latency_ps,45003,14.6000002
Q-PASS,p95_completion_latency_ps,45004,12.6000002
Q-PASS,p95_completion_latency_ps,45005,14.3
Q-PASS,p95_completion_latency_ps,45006,13.6000002
Q-PASS,p95_completion_latency_ps,45007,15.3
Q-PASS,p95_completion_latency_ps,45008,11.6000002
Q-PASS,p95_completion_latency_ps,45009,15.3
Q-PASS,p95_completion_latency_ps,45010,15.3
Q-PASS,p95_completion_latency_ps,45011,15.6000002
Q-PASS,p95_completion_latency_ps,45012,11.6000002
Q-PASS,p95_completion_latency_ps,45013,15.3
Q-PASS,p95_completion_latency_ps,45014,15.3
Q-PASS,p95_completion_latency_ps,45015,15.3
Q-PASS,p95_completion_latency_ps,45016,14.6000002
Q-PASS,p95_completion_latency_ps,45017,15.3
Q-PASS,p95_completion_latency_ps,45018,15.3
Q-PASS,p95_completion_latency_ps,45019,15.3
Greedy,p95_completion_latency_ps,45000,15.6000002
Greedy,p95_completion_latency_ps,45001,15.6000002
Greedy,p95_completion_latency_ps,45002,15.6000002
Greedy,p95_completion_latency_ps,45003,11.6000002
Greedy,p95_completion_latency_ps,45004,15.6000002
Greedy,p95_completion_latency_ps,45005,15.6000002
Greedy,p95_completion_latency_ps,45006,14.6000002
Greedy,p95_completion_latency_ps,45007,15.6000002
Greedy,p95_completion_latency_ps,45008,15.3
Greedy,p95_completion_latency_ps,45009,15.3
Greedy,p95_completion_latency_ps,45010,15.6000002
Greedy,p95_completion_latency_ps,45011,15.6000002
Greedy,p95_completion_latency_ps,45012,11.6000002
Greedy,p95_completion_latency_ps,45013,15.6000002
Greedy,p95_completion_latency_ps,45014,15.3
Greedy,p95_completion_latency_ps,45015,15.6000002
Greedy,p95_completion_latency_ps,45016,15.6000002
Greedy,p95_completion_latency_ps,45017,15.6000002
Greedy,p95_completion_latency_ps,45018,13.3
Greedy,p95_completion_latency_ps,45019,13.6000002
