method,metric,seed,value
TELGEN,mean_decision_seconds,45000,0.2814141000022313
TELGEN,mean_decision_seconds,45001,0.26800149998494555
TELGEN,mean_decision_seconds,45002,0.2080303143011406
TELGEN,mean_decision_seconds,45003,0.23804534283200546
TELGEN,mean_decision_seconds,45004,0.24180895712093584
TELGEN,mean_decision_seconds,45005,0.23948708572424948
TELGEN,mean_decision_seconds,45006,0.21380221427950477
TELGEN,mean_decision_seconds,45007,0.19680862857161888
TELGEN,mean_decision_seconds,45008,0.29297208571473937
TELGEN,mean_decision_seconds,45009,0.2289426857439269
TELGEN,mean_decision_seconds,45010,0.21551875713547425
TELGEN,mean_decision_seconds,45011,0.24827052855731122
TELGEN,mean_decision_seconds,45012,0.19686771428678185
TELGEN,mean_decision_seconds,45013,0.2295416999841109
TELGEN,mean_decision_seconds,45014,0.24847611430699804
TELGEN,mean_decision_seconds,45015,0.22428842858477896
TELGEN,mean_decision_seconds,45016,0.18436144287365355
TELGEN,mean_decision_seconds,45017,0.22909394285774656
TELGEN,mean_decision_seconds,45018,0.2152223714095141
TELGEN,mean_decision_seconds,45019,0.2275332428481696
MILP,mean_decision_seconds,45000,0.8264487142940717
MILP,mean_decision_seconds,45001,0.6354908000045855
MILP,mean_decision_seconds,45002,0.6284419571082773
MILP,mean_decision_seconds,45003,0.9461583714167189
MILP,mean_decision_seconds,45004,0.7098993714399902
MILP,mean_decision_seconds,45005,0.7306761571339199
MILP,mean_decision_seconds,45006,0.6096047428436577
MILP,mean_decision_seconds,45007,0.43272305715696086
MILP,mean_decision_seconds,45008,1.0217817428555074
MILP,mean_decision_seconds,45009,1.1694913999942531
MILP,mean_decision_seconds,45010,0.3108077571627551
MILP,mean_decision_seconds,45011,0.9488810000142881
MILP,mean_decision_seconds,45012,0.7124554857145995
MILP,mean_decision_seconds,45013,1.050741942865508
MILP,mean_decision_seconds,45014,0.8692814000117194
MILP,mean_decision_seconds,45015,0.5708578428519624
MILP,mean_decision_seconds,45016,0.7515838000191641
MILP,mean_decision_seconds,45017,1.7421513285620935
MILP,mean_decision_seconds,45018,0.9061052285666976
MILP,mean_decision_seconds,45019,0.6440341999820832
Q-PASS,mean_decision_seconds,45000,0.04079304286278784
Q-PASS,mean_decision_seconds,45001,0.03537814285872238
Q-PASS,mean_decision_seconds,45002,0.039219699966322095
Q-PASS,mean_decision_seconds,45003,0.03415449996412333
Q-PASS,mean_decision_seconds,45004,0.048348471422546675
Q-PASS,mean_decision_seconds,45005,0.049538771455575316
Q-PASS,mean_decision_seconds,45006,0.03400028568492936
Q-PASS,mean_decision_seconds,45007,0.04130938569349902
Q-PASS,mean_decision_seconds,45008,0.04590019999471094
Q-PASS,mean_decision_seconds,45009,0.0367373285449243
Q-PASS,mean_decision_seconds,45010,0.05352309999787914
Q-PASS,mean_decision_seconds,45011,0.054352585725220184
Q-PASS,mean_decision_seconds,45012,0.03390580001619777
Q-PASS,mean_decision_seconds,45013,0.050563557139996974
Q-PASS,mean_decision_seconds,45014,0.05904852858345423
Q-PASS,mean_decision_seconds,45015,0.05651968572887459
Q-PASS,mean_decision_seconds,45016,0.031772300002298186
Q-PASS,mean_decision_seconds,45017,0.0368118571350351
Q-PASS,mean_decision_seconds,45018,0.03304480001263853
Q-PASS,mean_decision_seconds,45019,0.03725051430852285
Greedy,mean_decision_seconds,45000,0.041994171433283815
Greedy,mean_decision_seconds,45001,0.05237077141646296
Greedy,mean_decision_seconds,45002,0.04126748572369771
Greedy,mean_decision_seconds,45003,0.052073671449241896
Greedy,mean_decision_seconds,45004,0.03684545714142067
Greedy,mean_decision_seconds,45005,0.035135557143283744
Greedy,mean_decision_seconds,45006,0.031814085702145736
Greedy,mean_decision_seconds,45007,0.044317228569915254
Greedy,mean_decision_seconds,45008,0.037418814292842786
Greedy,mean_decision_seconds,45009,0.04021192857596491
Greedy,mean_decision_seconds,45010,0.0427839714102447
Greedy,mean_decision_seconds,45011,0.04357707141233342
