case,method,metric,seed,value
"Waxman
(192 nodes)",TELGEN,mean_censored_latency_ps,43000,15.921666726666668
"Waxman
(192 nodes)",TELGEN,mean_censored_latency_ps,43001,16.97500004
"Waxman
(192 nodes)",TELGEN,mean_censored_latency_ps,43002,15.170000006666667
"Waxman
(192 nodes)",TELGEN,mean_censored_latency_ps,43003,18.22333338
"Waxman
(192 nodes)",TELGEN,mean_censored_latency_ps,43004,18.47833341
"Waxman
(192 nodes)",TELGEN,mean_censored_latency_ps,43005,17.030000066666666
"Waxman
(192 nodes)",TELGEN,mean_censored_latency_ps,43006,17.69833338
"Waxman
(192 nodes)",TELGEN,mean_censored_latency_ps,43007,19.761666746666666
"Waxman
(192 nodes)",TELGEN,mean_censored_latency_ps,43008,17.9833334
"Waxman
(192 nodes)",TELGEN,mean_censored_latency_ps,43009,17.28000005666667
"Waxman
(192 nodes)",TELGEN,mean_censored_latency_ps,43010,18.90666673333333
"Waxman
(192 nodes)",TELGEN,mean_censored_latency_ps,43011,16.935000046666666
"Waxman
(192 nodes)",TELGEN,mean_censored_latency_ps,43012,17.19000009666667
"Waxman
(192 nodes)",TELGEN,mean_censored_latency_ps,43013,17.08166672
"Waxman
(192 nodes)",TELGEN,mean_censored_latency_ps,43014,14.986666736666667
"Waxman
(192 nodes)",TELGEN,mean_censored_latency_ps,43015,17.58166671
"Waxman
(192 nodes)",TELGEN,mean_censored_latency_ps,43016,16.96500007
"Waxman
(192 nodes)",TELGEN,mean_censored_latency_ps,43017,17.543333456666666
"Waxman
(192 nodes)",TELGEN,mean_censored_latency_ps,43018,18.193333406666667
"Waxman
(192 nodes)",TELGEN,mean_censored_latency_ps,43019,18.055000093333334
"Barabási–Albert
(128 nodes)",TELGEN,mean_censored_latency_ps,43100,14.634000112
"Barabási–Albert
(128 nodes)",TELGEN,mean_censored_latency_ps,43101,14.064000128
"Barabási–Albert
(128 nodes)",TELGEN,mean_censored_latency_ps,43102,12.446000135999999
"Barabási–Albert
(128 nodes)",TELGEN,mean_censored_latency_ps,43103,14.818000108
"Barabási–Albert
(128 nodes)",TELGEN,mean_censored_latency_ps,43104,11.186000152
"Barabási–Albert
(128 nodes)",TELGEN,mean_censored_latency_ps,43105,15.73000012
"Barabási–Albert
(128 nodes)",TELGEN,mean_censored_latency_ps,43106,14.398000132
"Barabási–Albert
(128 nodes)",TELGEN,mean_censored_latency_ps,43107,14.006000132
"Barabási–Albert
(128 nodes)",TELGEN,mean_censored_latency_ps,43108,14.942000124000002
"Barabási–Albert
(128 nodes)",TELGEN,mean_censored_latency_ps,43109,10.838000152000001
"Barabási–Albert
(128 nodes)",TELGEN,mean_censored_latency_ps,43110,15.530000115999998
"Barabási–Albert
(128 nodes)",TELGEN,mean_censored_latency_ps,43111,13.68800014
"Barabási–Albert
(128 nodes)",TELGEN,mean_censored_latency_ps,43112,15.832000107999999
"Barabási–Albert
(128 nodes)",TELGEN,mean_censored_latency_ps,43113,16.214000124000002
"Barabási–Albert
(128 nodes)",TELGEN,mean_censored_latency_ps,43114,12.954000147999999
"Barabási–Albert
(128 nodes)",TELGEN,mean_censored_latency_ps,43115,11.976000136
"Barabási–Albert
(128 nodes)",TELGEN,mean_censored_latency_ps,43116,13.194000144
"Barabási–Albert
(128 nodes)",TELGEN,mean_censored_latency_ps,43117,12.096000148
"Barabási–Albert
(128 nodes)",TELGEN,mean_censored_latency_ps,43118,11.072000152000001
"Barabási–Albert
(128 nodes)",TELGEN,mean_censored_latency_ps,43119,16.954000116
"Waxman
(192 nodes)",Q-PASS,mean_censored_latency_ps,43000,16.19333343
"Waxman
(192 nodes)",Q-PASS,mean_censored_latency_ps,43001,16.90666677
"Waxman
(192 nodes)",Q-PASS,mean_censored_latency_ps,43002,17.515000076666666
"Waxman
(192 nodes)",Q-PASS,mean_censored_latency_ps,43003,17.75500012
"Waxman
(192 nodes)",Q-PASS,mean_censored_latency_ps,43004,18.400000113333334
"Waxman
(192 nodes)",Q-PASS,mean_censored_latency_ps,43005,16.226666753333333
