arrival_batch_size,method,metric,seed,value
5,TELGEN,completed_requests,46000,0.62
5,TELGEN,completed_requests,46001,0.66
5,TELGEN,completed_requests,46002,0.72
5,TELGEN,completed_requests,46003,0.52
5,TELGEN,completed_requests,46004,0.6
5,TELGEN,completed_requests,46005,0.6
5,TELGEN,completed_requests,46006,0.8
5,TELGEN,completed_requests,46007,0.62
5,TELGEN,completed_requests,46008,0.6
5,TELGEN,completed_requests,46009,0.46
5,TELGEN,completed_requests,46010,0.74
5,TELGEN,completed_requests,46011,0.6
5,TELGEN,completed_requests,46012,0.62
5,TELGEN,completed_requests,46013,0.72
5,TELGEN,completed_requests,46014,0.76
5,TELGEN,completed_requests,46015,0.66
5,TELGEN,completed_requests,46016,0.62
5,TELGEN,completed_requests,46017,0.58
5,TELGEN,completed_requests,46018,0.6
5,TELGEN,completed_requests,46019,0.62
10,TELGEN,completed_requests,46000,0.45
10,TELGEN,completed_requests,46001,0.56
10,TELGEN,completed_requests,46002,0.56
10,TELGEN,completed_requests,46003,0.43
10,TELGEN,completed_requests,46004,0.55
10,TELGEN,completed_requests,46005,0.51
10,TELGEN,completed_requests,46006,0.51
10,TELGEN,completed_requests,46007,0.48
10,TELGEN,completed_requests,46008,0.42
10,TELGEN,completed_requests,46009,0.54
10,TELGEN,completed_requests,46010,0.5
10,TELGEN,completed_requests,46011,0.51
10,TELGEN,completed_requests,46012,0.47
10,TELGEN,completed_requests,46013,0.58
10,TELGEN,completed_requests,46014,0.56
10,TELGEN,completed_requests,46015,0.47
10,TELGEN,completed_requests,46016,0.52
10,TELGEN,completed_requests,46017,0.51
10,TELGEN,completed_requests,46018,0.46
10,TELGEN,completed_requests,46019,0.54
15,TELGEN,completed_requests,46000,0.35333333333333333
15,TELGEN,completed_requests,46001,0.41333333333333333
15,TELGEN,completed_requests,46002,0.36
15,TELGEN,completed_requests,46003,0.35333333333333333
15,TELGEN,completed_requests,46004,0.46
15,TELGEN,completed_requests,46005,0.41333333333333333
15,TELGEN,completed_requests,46006,0.34
15,TELGEN,completed_requests,46007,0.38666666666666666
15,TELGEN,completed_requests,46008,0.34
15,TELGEN,completed_requests,46009,0.4
15,TELGEN,completed_requests,46010,0.4266666666666667
15,TELGEN,completed_requests,46011,0.36
15,TELGEN,completed_requests,46012,0.37333333333333335
15,TELGEN,completed_requests,46013,0.5066666666666667
15,TELGEN,completed_requests,46014,0.3933333333333333
15,TELGEN,completed_requests,46015,0.35333333333333333
15,TELGEN,completed_requests,46016,0.36666666666666664
15,TELGEN,completed_requests,46017,0.3466666666666667
15,TELGEN,completed_requests,46018,0.34
15,TELGEN,completed_requests,46019,0.3933333333333333
5,Q-PASS,completed_requests,46000,0.56
5,Q-PASS,completed_requests,46001,0.64
5,Q-PASS,completed_requests,46002,0.72
5,Q-PASS,completed_requests,46003,0.54
5,Q-PASS,completed_requests,46004,0.52
5,Q-PASS,completed_requests,46005,0.68
5,Q-PASS,completed_requests,46006,0.54
5,Q-PASS,completed_requests,46007,0.64
5,Q-PASS,completed_requests,46008,0.66
5,Q-PASS,completed_requests,46009,0.46
5,Q-PASS,completed_requests,46010,0.66
5,Q-PASS,completed_requests,46011,0.52
5,Q-PASS,completed_requests,46012,0.54
5,Q-PASS,completed_requests,46013,0.7
5,Q-PASS,completed_requests,46014,0.7
5,Q-PASS,completed_requests,46015,0.48
5,Q-PASS,completed_requests,46016,0.62
5,Q-PASS,completed_requests,46017,0.56
5,Q-PASS,completed_requests,46018,0.56
5,Q-PASS,completed_requests,46019,0.44
10,Q-PASS,completed_requests,46000,0.47
10,Q-PASS,completed_requests,46001,0.56
10,Q-PASS,completed_requests,46002,0.48
10,Q-PASS,completed_requests,46003,0.39
10,Q-PASS,completed_requests,46004,0.51
10,Q-PASS,completed_requests,46005,0.51
10,Q-PASS,completed_requests,46006,0.36
10,Q-PASS,completed_requests,46007,0.43
10,Q-PASS,completed_requests,46008,0.41
10,Q-PASS,completed_requests,46009,0.52
10,Q-PASS,completed_requests,46010,0.48
10,Q-PASS,completed_requests,46011,0.51
10,Q-PASS,completed_requests,46012,0.48
10,Q-PASS,completed_requests,46013,0.5
10,Q-PASS,completed_requests,46014,0.39
10,Q-PASS,completed_requests,46015,0.38
10,Q-PASS,completed_requests,46016,0.49
10,Q-PASS,completed_requests,46017,0.46
10,Q-PASS,completed_requests,46018,0.4
10,Q-PASS,completed_requests,46019,0.49
15,Q-PASS,completed_requests,46000,0.34
15,Q-PASS,completed_requests,46001,0.3333333333333333
15,Q-PASS,completed_requests,46002,0.3466666666666667
15,Q-PASS,completed_requests,46003,0.26666666666666666
15,Q-PASS,completed_requests,46004,0.38
15,Q-PASS,completed_requests,46005,0.34
15,Q-PASS,completed_requests,46006,0.2866666666666667
15,Q-PASS,completed_requests,46007,0.32
15,Q-PASS,completed_requests,46008,0.32666666666666666
15,Q-PASS,completed_requests,46009,0.30666666666666664
15,Q-PASS,completed_requests,46010,0.30666666666666664
15,Q-PASS,completed_requests,46011,0.36
15,Q-PASS,completed_requests,46012,0.35333333333333333
15,Q-PASS,completed_requests,46013,0.4066666666666667
15,Q-PASS,completed_requests,46014,0.34
15,Q-PASS,completed_requests,46015,0.32
15,Q-PASS,completed_requests,46016,0.32
15,Q-PASS,completed_requests,46017,0.3933333333333333
15,Q-PASS,completed_requests,46018,0.31333333333333335
15,Q-PASS,completed_requests,46019,0.31333333333333335
5,Greedy,completed_requests,46000,0.6
5,Greedy,completed_requests,46001,0.64
5,Greedy,completed_requests,46002,0.6
5,Greedy,completed_requests,46003,0.54
5,Greedy,completed_requests,46004,0.68
5,Greedy,completed_requests,46005,0.78
5,Greedy,completed_requests,46006,0.62
5,Greedy,completed_requests,46007,0.7
5,Greedy,completed_requests,46008,0.58
5,Greedy,completed_requests,46009,0.52
5,Greedy,completed_requests,46010,0.56
5,Greedy,completed_requests,46011,0.66
5,Greedy,completed_requests,46012,0.54
5,Greedy,completed_requests,46013,0.6
5,Greedy,completed_requests,46014,0.7
5,Greedy,completed_requests,46015,0.48
5,Greedy,completed_requests,46016,0.6
5,Greedy,completed_requests,46017,0.56
5,Greedy,completed_requests,46018,0.38
5,Greedy,completed_requests,46019,0.46
10,Greedy,completed_requests,46000,0.44
10,Greedy,completed_requests,46001,0.5
10,Greedy,completed_requests,46002,0.46
10,Greedy,completed_requests,46003,0.36
10,Greedy,completed_requests,46004,0.52
10,Greedy,completed_requests,46005,0.41
10,Greedy,completed_requests,46006,0.4
10,Greedy,completed_requests,46007,0.38
10,Greedy,completed_requests,46008,0.43
10,Greedy,completed_requests,46009,0.48
10,Greedy,completed_requests,46010,0.52
10,Greedy,completed_requests,46011,0.46
10,Greedy,completed_requests,46012,0.28
10,Greedy,completed_requests,46013,0.5
10,Greedy,completed_requests,46014,0.56
10,Greedy,completed_requests,46015,0.43
10,Greedy,completed_requests,46016,0.35
10,Greedy,completed_requests,46017,0.43
10,Greedy,completed_requests,46018,0.39
10,Greedy,completed_requests,46019,0.41
15,Greedy,completed_requests,46000,0.38
15,Greedy,completed_requests,46001,0.36
15,Greedy,completed_requests,46002,0.3333333333333333
15,Greedy,completed_requests,46003,0.32
15,Greedy,completed_requests,46004,0.4266666666666667
15,Greedy,completed_requests,46005,0.36666666666666664
15,Greedy,completed_requests,46006,0.29333333333333333
15,Greedy,completed_requests,46007,0.3466666666666667
15,Greedy,completed_requests,46008,0.30666666666666664
15,Greedy,completed_requests,46009,0.36
15,Greedy,completed_requests,46010,0.2866666666666667
15,Greedy,completed_requests,46011,0.2733333333333333
15,Greedy,completed_requests,46012,0.3466666666666667
15,Greedy,completed_requests,46013,0.42
15,Greedy,completed_requests,46014,0.36666666666666664
15,Greedy,completed_requests,46015,0.2866666666666667
15,Greedy,completed_requests,46016,0.3
15,Greedy,completed_requests,46017,0.2733333333333333
15,Greedy,completed_requests,46018,0.19333333333333333
15,Greedy,completed_requests,46019,0.29333333333333333
5,TELGEN,throughput_per_slot,46000,0.5961538461538461
5,TELGEN,throughput_per_slot,46001,0.6346153846153846
5,TELGEN,throughput_per_slot,46002,0.6923076923076923
5,TELGEN,throughput_per_slot,46003,0.5
5,TELGEN,throughput_per_slot,46004,0.5769230769230769
5,TELGEN,throughput_per_slot,46005,0.5769230769230769
5,TELGEN,throughput_per_slot,46006,0.7692307692307693
5,TELGEN,throughput_per_slot,46007,0.5961538461538461
5,TELGEN,throughput_per_slot,46008,0.5769230769230769
5,TELGEN,throughput_per_slot,46009,0.4423076923076923
5,TELGEN,throughput_per_slot,46010,0.7115384615384616
5,TELGEN,throughput_per_slot,46011,0.5769230769230769
5,TELGEN,throughput_per_slot,46012,0.5961538461538461
5,TELGEN,throughput_per_slot,46013,0.6923076923076923
5,TELGEN,throughput_per_slot,46014,0.7307692307692307
5,TELGEN,throughput_per_slot,46015,0.6346153846153846
5,TELGEN,throughput_per_slot,46016,0.5961538461538461
5,TELGEN,throughput_per_slot,46017,0.5576923076923077
5,TELGEN,throughput_per_slot,46018,0.5769230769230769
5,TELGEN,throughput_per_slot,46019,0.5961538461538461
10,TELGEN,throughput_per_slot,46000,0.8653846153846154
10,TELGEN,throughput_per_slot,46001,1.0769230769230769
10,TELGEN,throughput_per_slot,46002,1.0769230769230769
10,TELGEN,throughput_per_slot,46003,0.8269230769230769
10,TELGEN,throughput_per_slot,46004,1.0576923076923077
10,TELGEN,throughput_per_slot,46005,0.9807692307692307
10,TELGEN,throughput_per_slot,46006,0.9807692307692307
10,TELGEN,throughput_per_slot,46007,0.9230769230769231
10,TELGEN,throughput_per_slot,46008,0.8076923076923077
10,TELGEN,throughput_per_slot,46009,1.0384615384615385
10,TELGEN,throughput_per_slot,46010,0.9615384615384616
10,TELGEN,throughput_per_slot,46011,0.9807692307692307
10,TELGEN,throughput_per_slot,46012,0.9038461538461539
10,TELGEN,throughput_per_slot,46013,1.1153846153846154
10,TELGEN,throughput_per_slot,46014,1.0769230769230769
10,TELGEN,throughput_per_slot,46015,0.9038461538461539
10,TELGEN,throughput_per_slot,46016,1.0
10,TELGEN,throughput_per_slot,46017,0.9807692307692307
10,TELGEN,throughput_per_slot,46018,0.8846153846153846
10,TELGEN,throughput_per_slot,46019,1.0384615384615385
15,TELGEN,throughput_per_slot,46000,1.0192307692307692
15,TELGEN,throughput_per_slot,46001,1.1923076923076923
15,TELGEN,throughput_per_slot,46002,1.0384615384615385
15,TELGEN,throughput_per_slot,46003,1.0192307692307692
15,TELGEN,throughput_per_slot,46004,1.3269230769230769
15,TELGEN,throughput_per_slot,46005,1.1923076923076923
15,TELGEN,throughput_per_slot,46006,0.9807692307692307
15,TELGEN,throughput_per_slot,46007,1.1153846153846154
15,TELGEN,throughput_per_slot,46008,0.9807692307692307
15,TELGEN,throughput_per_slot,46009,1.1538461538461537
15,TELGEN,throughput_per_slot,46010,1.2307692307692308
15,TELGEN,throughput_per_slot,46011,1.0384615384615385
15,TELGEN,throughput_per_slot,46012,1.0769230769230769
15,TELGEN,throughput_per_slot,46013,1.4615384615384615
15,TELGEN,throughput_per_slot,46014,1.1346153846153846
