arrival_batch_size,method,metric,seed,value
5,TELGEN,mean_censored_latency_ps,46000,18.464000084000002
5,TELGEN,mean_censored_latency_ps,46001,15.604000104
5,TELGEN,mean_censored_latency_ps,46002,16.038000128
5,TELGEN,mean_censored_latency_ps,46003,20.968000096
5,TELGEN,mean_censored_latency_ps,46004,18.450000104
5,TELGEN,mean_censored_latency_ps,46005,17.706000076
5,TELGEN,mean_censored_latency_ps,46006,14.626000152000001
5,TELGEN,mean_censored_latency_ps,46007,17.114000104000002
5,TELGEN,mean_censored_latency_ps,46008,18.424000084
5,TELGEN,mean_censored_latency_ps,46009,22.774000068000003
5,TELGEN,mean_censored_latency_ps,46010,14.884000116
5,TELGEN,mean_censored_latency_ps,46011,19.9600001
5,TELGEN,mean_censored_latency_ps,46012,19.538000108
5,TELGEN,mean_censored_latency_ps,46013,14.272000124000002
5,TELGEN,mean_censored_latency_ps,46014,15.01400012
5,TELGEN,mean_censored_latency_ps,46015,17.770000107999998
5,TELGEN,mean_censored_latency_ps,46016,19.056000104000002
5,TELGEN,mean_censored_latency_ps,46017,18.806000104000002
5,TELGEN,mean_censored_latency_ps,46018,18.934000108
5,TELGEN,mean_censored_latency_ps,46019,19.242000076
10,TELGEN,mean_censored_latency_ps,46000,23.203000084
10,TELGEN,mean_censored_latency_ps,46001,19.127000104
10,TELGEN,mean_censored_latency_ps,46002,20.458000104
10,TELGEN,mean_censored_latency_ps,46003,25.12700008
10,TELGEN,mean_censored_latency_ps,46004,20.625000102
10,TELGEN,mean_censored_latency_ps,46005,20.843000098
10,TELGEN,mean_censored_latency_ps,46006,21.712000094
10,TELGEN,mean_censored_latency_ps,46007,21.28200009
10,TELGEN,mean_censored_latency_ps,46008,24.124000068
10,TELGEN,mean_censored_latency_ps,46009,19.634000106
10,TELGEN,mean_censored_latency_ps,46010,20.360000098
10,TELGEN,mean_censored_latency_ps,46011,21.573000095999998
10,TELGEN,mean_censored_latency_ps,46012,21.995000088
10,TELGEN,mean_censored_latency_ps,46013,18.609000114
10,TELGEN,mean_censored_latency_ps,46014,19.448000102
10,TELGEN,mean_censored_latency_ps,46015,22.787000086
10,TELGEN,mean_censored_latency_ps,46016,21.746000101999996
10,TELGEN,mean_censored_latency_ps,46017,21.503000095999997
10,TELGEN,mean_censored_latency_ps,46018,23.471000086
10,TELGEN,mean_censored_latency_ps,46019,20.106000092000002
15,TELGEN,mean_censored_latency_ps,46000,25.473333398666668
15,TELGEN,mean_censored_latency_ps,46001,23.324666749333336
15,TELGEN,mean_censored_latency_ps,46002,24.942666733333336
15,TELGEN,mean_censored_latency_ps,46003,26.136666733333335
15,TELGEN,mean_censored_latency_ps,46004,23.126666754666665
15,TELGEN,mean_censored_latency_ps,46005,23.15800007733333
15,TELGEN,mean_censored_latency_ps,46006,26.286666730666667
15,TELGEN,mean_censored_latency_ps,46007,24.248000071999996
15,TELGEN,mean_censored_latency_ps,46008,25.514666730666665
15,TELGEN,mean_censored_latency_ps,46009,25.179333405333335
15,TELGEN,mean_censored_latency_ps,46010,23.632000084
