candidate_count,metric,seed,value,variant
5,completed_requests,47000,60.0,Adaptive
5,completed_requests,47001,57.0,Adaptive
5,completed_requests,47002,51.0,Adaptive
5,completed_requests,47003,49.0,Adaptive
5,completed_requests,47004,59.0,Adaptive
5,completed_requests,47005,56.0,Adaptive
5,completed_requests,47006,44.0,Adaptive
5,completed_requests,47007,37.0,Adaptive
5,completed_requests,47008,53.0,Adaptive
5,completed_requests,47009,45.0,Adaptive
5,completed_requests,47010,53.0,Adaptive
5,completed_requests,47011,56.0,Adaptive
5,completed_requests,47012,52.0,Adaptive
5,completed_requests,47013,61.0,Adaptive
5,completed_requests,47014,54.0,Adaptive
5,completed_requests,47015,48.0,Adaptive
5,completed_requests,47016,34.0,Adaptive
5,completed_requests,47017,60.0,Adaptive
5,completed_requests,47018,50.0,Adaptive
5,completed_requests,47019,50.0,Adaptive
5,completed_requests,47000,50.0,Tree 0
5,completed_requests,47001,44.0,Tree 0
5,completed_requests,47002,41.0,Tree 0
5,completed_requests,47003,48.0,Tree 0
5,completed_requests,47004,54.0,Tree 0
5,completed_requests,47005,47.0,Tree 0
5,completed_requests,47006,37.0,Tree 0
5,completed_requests,47007,39.0,Tree 0
5,completed_requests,47008,57.0,Tree 0
5,completed_requests,47009,46.0,Tree 0
5,completed_requests,47010,50.0,Tree 0
5,completed_requests,47011,50.0,Tree 0
5,completed_requests,47012,47.0,Tree 0
5,completed_requests,47013,61.0,Tree 0
5,completed_requests,47014,54.0,Tree 0
5,completed_requests,47015,43.0,Tree 0
5,completed_requests,47016,33.0,Tree 0
5,completed_requests,47017,46.0,Tree 0
5,completed_requests,47018,52.0,Tree 0
5,completed_requests,47019,34.0,Tree 0
5,completed_requests,47000,51.0,Tree 1
5,completed_requests,47001,40.0,Tree 1
5,completed_requests,47002,43.0,Tree 1
5,completed_requests,47003,50.0,Tree 1
5,completed_requests,47004,41.0,Tree 1
5,completed_requests,47005,54.0,Tree 1
5,completed_requests,47006,47.0,Tree 1
5,completed_requests,47007,40.0,Tree 1
5,completed_requests,47008,52.0,Tree 1
5,completed_requests,47009,47.0,Tree 1
5,completed_requests,47010,47.0,Tree 1
5,completed_requests,47011,44.0,Tree 1
5,completed_requests,47012,48.0,Tree 1
5,completed_requests,47013,52.0,Tree 1
5,completed_requests,47014,46.0,Tree 1
5,completed_requests,47015,46.0,Tree 1
5,completed_requests,47016,31.0,Tree 1
5,completed_requests,47017,41.0,Tree 1
5,completed_requests,47018,46.0,Tree 1
5,completed_requests,47019,34.0,Tree 1
5,completed_requests,47000,51.0,Tree 2
5,completed_requests,47001,47.0,Tree 2
5,completed_requests,47002,49.0,Tree 2
5,completed_requests,47003,47.0,Tree 2
5,completed_requests,47004,47.0,Tree 2
5,completed_requests,47005,45.0,Tree 2
5,completed_requests,47006,41.0,Tree 2
5,completed_requests,47007,38.0,Tree 2
5,completed_requests,47008,47.0,Tree 2
5,completed_requests,47009,44.0,Tree 2
